ring_id,accounts,transactions,density,average_connections,predicted_fraud_accounts,average_fraud_probability,maximum_fraud_probability,suspicion_score,risk_level
47996,3,2,0.6667,1.33,1,0.4346,0.6808,45.06,MEDIUM
73514,3,2,0.6667,1.33,1,0.4334,0.6796,45.0,MEDIUM
71802,3,2,0.6667,1.33,1,0.4325,0.6836,44.96,MEDIUM
46411,3,2,0.6667,1.33,1,0.4324,0.6783,44.96,MEDIUM
57091,3,2,0.6667,1.33,1,0.4321,0.6746,44.94,MEDIUM
65718,3,2,0.6667,1.33,1,0.432,0.6776,44.93,MEDIUM
82649,3,2,0.6667,1.33,1,0.4313,0.6719,44.9,MEDIUM
67837,3,2,0.6667,1.33,1,0.4296,0.6723,44.81,MEDIUM
75725,3,2,0.6667,1.33,1,0.4295,0.6763,44.81,MEDIUM
53779,3,2,0.6667,1.33,1,0.4295,0.6775,44.81,MEDIUM
77385,3,2,0.6667,1.33,1,0.4293,0.6733,44.8,MEDIUM
76042,3,2,0.6667,1.33,1,0.429,0.6642,44.79,MEDIUM
24591,3,2,0.6667,1.33,1,0.429,0.662,44.78,MEDIUM
83451,3,2,0.6667,1.33,1,0.4286,0.6752,44.76,MEDIUM
20441,3,2,0.6667,1.33,1,0.4282,0.674,44.74,MEDIUM
88263,3,2,0.6667,1.33,1,0.4281,0.6726,44.74,MEDIUM
52627,3,2,0.6667,1.33,1,0.4279,0.6526,44.73,MEDIUM
17989,3,2,0.6667,1.33,1,0.4255,0.6539,44.61,MEDIUM
85690,3,2,0.6667,1.33,1,0.4253,0.6547,44.6,MEDIUM
15152,3,2,0.6667,1.33,1,0.4253,0.6535,44.6,MEDIUM
62152,3,2,0.6667,1.33,1,0.4246,0.6539,44.56,MEDIUM
55387,3,2,0.6667,1.33,1,0.4244,0.6486,44.56,MEDIUM
66993,3,2,0.6667,1.33,1,0.4235,0.6502,44.51,MEDIUM
73752,3,2,0.6667,1.33,1,0.4233,0.6493,44.5,MEDIUM
82445,3,2,0.6667,1.33,1,0.4228,0.6578,44.48,MEDIUM
46262,3,2,0.6667,1.33,1,0.422,0.6482,44.44,MEDIUM
86301,3,2,0.6667,1.33,1,0.422,0.6461,44.43,MEDIUM
55466,3,2,0.6667,1.33,1,0.4217,0.6455,44.42,MEDIUM
68950,3,2,0.6667,1.33,1,0.4216,0.6592,44.41,MEDIUM
41619,3,2,0.6667,1.33,1,0.4208,0.6287,44.37,MEDIUM
76597,3,2,0.6667,1.33,1,0.419,0.6302,44.28,MEDIUM
48455,3,2,0.6667,1.33,1,0.4185,0.634,44.26,MEDIUM
79946,3,2,0.6667,1.33,1,0.4186,0.6437,44.26,MEDIUM
58058,3,2,0.6667,1.33,1,0.418,0.6335,44.23,MEDIUM
66383,3,2,0.6667,1.33,1,0.4172,0.6285,44.19,MEDIUM
70334,3,2,0.6667,1.33,1,0.4172,0.6281,44.19,MEDIUM
44717,3,2,0.6667,1.33,1,0.417,0.6312,44.18,MEDIUM
65905,3,2,0.6667,1.33,1,0.4165,0.6297,44.16,MEDIUM
50193,3,2,0.6667,1.33,1,0.4166,0.6315,44.16,MEDIUM
70855,3,2,0.6667,1.33,1,0.4162,0.6172,44.14,MEDIUM
77386,3,2,0.6667,1.33,1,0.4162,0.632,44.14,MEDIUM
83879,3,2,0.6667,1.33,1,0.4159,0.6298,44.13,MEDIUM
21304,3,2,0.6667,1.33,1,0.4159,0.6263,44.13,MEDIUM
49006,3,2,0.6667,1.33,1,0.4158,0.6276,44.12,MEDIUM
78431,3,2,0.6667,1.33,1,0.4152,0.6261,44.09,MEDIUM
73766,3,2,0.6667,1.33,1,0.4151,0.6254,44.09,MEDIUM
88341,3,2,0.6667,1.33,1,0.4149,0.6219,44.08,MEDIUM
29390,3,2,0.6667,1.33,1,0.4149,0.6347,44.08,MEDIUM
25735,3,2,0.6667,1.33,1,0.4147,0.6179,44.07,MEDIUM
81588,3,2,0.6667,1.33,1,0.4146,0.6245,44.06,MEDIUM
82579,3,2,0.6667,1.33,1,0.4142,0.6229,44.04,MEDIUM
71783,3,2,0.6667,1.33,1,0.414,0.6232,44.03,MEDIUM
80834,3,2,0.6667,1.33,1,0.414,0.6219,44.03,MEDIUM
87767,3,2,0.6667,1.33,1,0.4139,0.6268,44.03,MEDIUM
39488,3,2,0.6667,1.33,1,0.4132,0.6204,43.99,MEDIUM
66468,3,2,0.6667,1.33,1,0.4127,0.6148,43.97,MEDIUM
49052,3,2,0.6667,1.33,1,0.4125,0.6165,43.96,MEDIUM
67004,3,2,0.6667,1.33,1,0.4125,0.6126,43.96,MEDIUM
80973,3,2,0.6667,1.33,1,0.4118,0.614,43.92,MEDIUM
76939,5,4,0.4,1.6,2,0.4784,0.9041,43.92,MEDIUM
90937,3,2,0.6667,1.33,1,0.4116,0.6152,43.91,MEDIUM
84974,3,2,0.6667,1.33,1,0.4116,0.6248,43.91,MEDIUM
62726,3,2,0.6667,1.33,1,0.4113,0.6119,43.9,MEDIUM
81589,3,2,0.6667,1.33,1,0.4112,0.6122,43.89,MEDIUM
10918,3,2,0.6667,1.33,1,0.4112,0.6116,43.89,MEDIUM
70382,3,2,0.6667,1.33,1,0.4108,0.6109,43.87,MEDIUM
57953,3,2,0.6667,1.33,1,0.4106,0.6106,43.86,MEDIUM
61716,3,2,0.6667,1.33,1,0.4104,0.6111,43.85,MEDIUM
83880,3,2,0.6667,1.33,1,0.4102,0.6233,43.84,MEDIUM
71877,3,2,0.6667,1.33,1,0.4093,0.6085,43.8,MEDIUM
27185,3,2,0.6667,1.33,1,0.4088,0.6071,43.78,MEDIUM
35468,3,2,0.6667,1.33,1,0.4087,0.6049,43.77,MEDIUM
82176,3,2,0.6667,1.33,1,0.4087,0.6078,43.77,MEDIUM
72449,3,2,0.6667,1.33,1,0.4082,0.6061,43.74,MEDIUM
74303,3,2,0.6667,1.33,1,0.4073,0.5989,43.7,MEDIUM
76214,3,2,0.6667,1.33,1,0.4073,0.6039,43.7,MEDIUM
80665,3,2,0.6667,1.33,1,0.4072,0.5994,43.69,MEDIUM
50268,3,2,0.6667,1.33,1,0.4067,0.6018,43.67,MEDIUM
64994,3,2,0.6667,1.33,1,0.4068,0.6003,43.67,MEDIUM
58752,3,2,0.6667,1.33,1,0.4065,0.599,43.66,MEDIUM
60014,3,2,0.6667,1.33,1,0.4062,0.6108,43.64,MEDIUM
29149,3,2,0.6667,1.33,1,0.4059,0.5956,43.63,MEDIUM
74754,3,2,0.6667,1.33,1,0.4058,0.5874,43.62,MEDIUM
12169,3,2,0.6667,1.33,1,0.4055,0.597,43.61,MEDIUM
50908,5,4,0.4,1.6,2,0.4722,0.8445,43.61,MEDIUM
36658,3,2,0.6667,1.33,1,0.4052,0.5923,43.59,MEDIUM
28637,3,2,0.6667,1.33,1,0.405,0.6081,43.59,MEDIUM
43043,3,2,0.6667,1.33,1,0.4047,0.5934,43.57,MEDIUM
49353,3,2,0.6667,1.33,1,0.4048,0.5942,43.57,MEDIUM
58862,3,2,0.6667,1.33,1,0.4041,0.5902,43.54,MEDIUM
85675,3,2,0.6667,1.33,1,0.4037,0.5888,43.52,MEDIUM
37611,3,2,0.6667,1.33,1,0.4038,0.5892,43.52,MEDIUM
55933,3,2,0.6667,1.33,1,0.4036,0.6004,43.51,MEDIUM
39575,3,2,0.6667,1.33,1,0.4032,0.5911,43.49,MEDIUM
31494,3,2,0.6667,1.33,1,0.4029,0.5878,43.48,MEDIUM
85790,3,2,0.6667,1.33,1,0.4027,0.6023,43.47,MEDIUM
60135,3,2,0.6667,1.33,1,0.4025,0.5888,43.46,MEDIUM
35403,3,2,0.6667,1.33,1,0.4024,0.5839,43.45,MEDIUM
33833,3,2,0.6667,1.33,1,0.4022,0.5834,43.45,MEDIUM
92583,3,2,0.6667,1.33,1,0.4021,0.5765,43.44,MEDIUM
81819,3,2,0.6667,1.33,1,0.4018,0.5869,43.42,MEDIUM
49936,3,2,0.6667,1.33,1,0.4018,0.5848,43.42,MEDIUM
22668,3,2,0.6667,1.33,1,0.4012,0.5811,43.4,MEDIUM
19926,3,2,0.6667,1.33,1,0.4011,0.5821,43.39,MEDIUM
75867,3,2,0.6667,1.33,1,0.4007,0.5855,43.37,MEDIUM
54314,3,2,0.6667,1.33,1,0.4007,0.5986,43.37,MEDIUM
25438,3,2,0.6667,1.33,1,0.4005,0.5789,43.36,MEDIUM
67792,3,2,0.6667,1.33,1,0.4006,0.5821,43.36,MEDIUM
78346,3,2,0.6667,1.33,1,0.4006,0.5891,43.36,MEDIUM
88832,3,2,0.6667,1.33,1,0.4003,0.5892,43.35,MEDIUM
23865,3,2,0.6667,1.33,1,0.4002,0.5827,43.34,MEDIUM
1126,5,4,0.4,1.6,2,0.4666,0.8279,43.33,MEDIUM
88096,3,2,0.6667,1.33,1,0.3992,0.5794,43.3,MEDIUM
66246,3,2,0.6667,1.33,1,0.3992,0.574,43.29,MEDIUM
84112,3,2,0.6667,1.33,1,0.3991,0.5887,43.29,MEDIUM
79422,3,2,0.6667,1.33,1,0.399,0.5912,43.28,MEDIUM
77324,3,2,0.6667,1.33,1,0.3988,0.573,43.27,MEDIUM
69671,3,2,0.6667,1.33,1,0.3986,0.5896,43.27,MEDIUM
78802,3,2,0.6667,1.33,1,0.3986,0.575,43.26,MEDIUM
80974,3,2,0.6667,1.33,1,0.3986,0.5803,43.26,MEDIUM
34569,3,2,0.6667,1.33,1,0.3984,0.5752,43.25,MEDIUM
61808,3,2,0.6667,1.33,1,0.3982,0.5726,43.24,MEDIUM
84462,3,2,0.6667,1.33,1,0.3982,0.5627,43.24,MEDIUM
43061,3,2,0.6667,1.33,1,0.3979,0.575,43.23,MEDIUM
71959,3,2,0.6667,1.33,1,0.398,0.5693,43.23,MEDIUM
64088,3,2,0.6667,1.33,1,0.3973,0.5718,43.2,MEDIUM
71031,3,2,0.6667,1.33,1,0.3972,0.5875,43.19,MEDIUM
76467,3,2,0.6667,1.33,1,0.397,0.5699,43.18,MEDIUM
85047,3,2,0.6667,1.33,1,0.3966,0.5672,43.16,MEDIUM
53384,3,2,0.6667,1.33,1,0.3965,0.5776,43.16,MEDIUM
69804,3,2,0.6667,1.33,1,0.3956,0.5749,43.12,MEDIUM
24626,3,2,0.6667,1.33,1,0.3955,0.5714,43.11,MEDIUM
67026,3,2,0.6667,1.33,1,0.3946,0.5658,43.07,MEDIUM
82002,3,2,0.6667,1.33,1,0.3946,0.5611,43.06,MEDIUM
37801,3,2,0.6667,1.33,1,0.3946,0.5754,43.06,MEDIUM
65125,3,2,0.6667,1.33,1,0.3944,0.5597,43.05,MEDIUM
84679,3,2,0.6667,1.33,1,0.3941,0.5602,43.04,MEDIUM
74073,3,2,0.6667,1.33,1,0.3938,0.5614,43.03,MEDIUM
56441,3,2,0.6667,1.33,1,0.3935,0.5555,43.01,MEDIUM
71803,3,2,0.6667,1.33,1,0.3934,0.5692,43.0,MEDIUM
25622,3,2,0.6667,1.33,1,0.3932,0.5769,42.99,MEDIUM
63635,3,2,0.6667,1.33,1,0.3932,0.5616,42.99,MEDIUM
59400,3,2,0.6667,1.33,1,0.3932,0.5576,42.99,MEDIUM
77106,3,2,0.6667,1.33,1,0.3929,0.5613,42.98,MEDIUM
13555,3,2,0.6667,1.33,1,0.3929,0.5571,42.98,MEDIUM
64835,3,2,0.6667,1.33,1,0.3927,0.5542,42.97,MEDIUM
48338,3,2,0.6667,1.33,1,0.3926,0.5596,42.96,MEDIUM
75508,3,2,0.6667,1.33,1,0.3921,0.5551,42.94,MEDIUM
50604,3,2,0.6667,1.33,1,0.392,0.5536,42.93,MEDIUM
52655,3,2,0.6667,1.33,1,0.392,0.5608,42.93,MEDIUM
70986,3,2,0.6667,1.33,1,0.3913,0.5704,42.9,MEDIUM
61677,3,2,0.6667,1.33,1,0.3912,0.5516,42.89,MEDIUM
71496,3,2,0.6667,1.33,1,0.3909,0.5514,42.88,MEDIUM
62211,3,2,0.6667,1.33,1,0.3906,0.5703,42.87,MEDIUM
31930,3,2,0.6667,1.33,1,0.3906,0.5542,42.87,MEDIUM
65497,3,2,0.6667,1.33,1,0.3905,0.5527,42.86,MEDIUM
27983,3,2,0.6667,1.33,1,0.3906,0.5553,42.86,MEDIUM
92237,3,2,0.6667,1.33,1,0.3902,0.5417,42.84,MEDIUM
60071,3,2,0.6667,1.33,1,0.3899,0.5566,42.83,MEDIUM
48861,3,2,0.6667,1.33,1,0.3898,0.5446,42.82,MEDIUM
5990,3,2,0.6667,1.33,1,0.3895,0.5504,42.81,MEDIUM
38534,3,2,0.6667,1.33,1,0.3893,0.5472,42.8,MEDIUM
75191,3,2,0.6667,1.33,1,0.3892,0.5515,42.79,MEDIUM
50387,3,2,0.6667,1.33,1,0.3891,0.5509,42.79,MEDIUM
49177,3,2,0.6667,1.33,1,0.389,0.5433,42.78,MEDIUM
31879,3,2,0.6667,1.33,1,0.3888,0.5472,42.77,MEDIUM
80601,3,2,0.6667,1.33,1,0.3885,0.546,42.76,MEDIUM
87047,3,2,0.6667,1.33,1,0.3883,0.5554,42.75,MEDIUM
87036,3,2,0.6667,1.33,1,0.3884,0.5427,42.75,MEDIUM
48798,3,2,0.6667,1.33,1,0.3884,0.5454,42.75,MEDIUM
21324,3,2,0.6667,1.33,1,0.3881,0.546,42.74,MEDIUM
77764,3,2,0.6667,1.33,1,0.3879,0.5488,42.73,MEDIUM
64701,3,2,0.6667,1.33,1,0.3878,0.544,42.72,MEDIUM
28223,3,2,0.6667,1.33,1,0.3876,0.5407,42.71,MEDIUM
38615,3,2,0.6667,1.33,1,0.3876,0.5418,42.71,MEDIUM
87702,3,2,0.6667,1.33,1,0.3874,0.5582,42.7,MEDIUM
76361,3,2,0.6667,1.33,1,0.387,0.5464,42.69,MEDIUM
482,3,2,0.6667,1.33,1,0.3868,0.549,42.67,MEDIUM
72896,3,2,0.6667,1.33,1,0.3866,0.5416,42.66,MEDIUM
88226,3,2,0.6667,1.33,1,0.3862,0.5396,42.65,MEDIUM
81411,3,2,0.6667,1.33,1,0.386,0.5417,42.63,MEDIUM
57175,3,2,0.6667,1.33,1,0.386,0.5359,42.63,MEDIUM
61850,3,2,0.6667,1.33,1,0.3857,0.5379,42.62,MEDIUM
61869,3,2,0.6667,1.33,1,0.3857,0.5396,42.62,MEDIUM
72073,3,2,0.6667,1.33,1,0.3857,0.5445,42.62,MEDIUM
37251,3,2,0.6667,1.33,1,0.3856,0.5331,42.61,MEDIUM
76368,3,2,0.6667,1.33,1,0.3855,0.5408,42.61,MEDIUM
34502,3,2,0.6667,1.33,1,0.3856,0.5337,42.61,MEDIUM
49938,3,2,0.6667,1.33,1,0.3853,0.5399,42.6,MEDIUM
67753,3,2,0.6667,1.33,1,0.3854,0.534,42.6,MEDIUM
68774,3,2,0.6667,1.33,1,0.3852,0.5531,42.59,MEDIUM
65694,3,2,0.6667,1.33,1,0.3852,0.5326,42.59,MEDIUM
89040,3,2,0.6667,1.33,1,0.3849,0.5401,42.58,MEDIUM
24175,3,2,0.6667,1.33,1,0.385,0.5366,42.58,MEDIUM
47836,3,2,0.6667,1.33,1,0.3846,0.5373,42.57,MEDIUM
70507,3,2,0.6667,1.33,1,0.3847,0.5293,42.57,MEDIUM
37323,3,2,0.6667,1.33,1,0.3845,0.5351,42.56,MEDIUM
23915,3,2,0.6667,1.33,1,0.3846,0.5369,42.56,MEDIUM
92191,3,2,0.6667,1.33,1,0.3844,0.5392,42.55,MEDIUM
23692,3,2,0.6667,1.33,1,0.3843,0.5354,42.55,MEDIUM
48025,3,2,0.6667,1.33,1,0.3842,0.5336,42.55,MEDIUM
45411,3,2,0.6667,1.33,1,0.3844,0.5311,42.55,MEDIUM
19568,3,2,0.6667,1.33,1,0.3844,0.5287,42.55,MEDIUM
44375,3,2,0.6667,1.33,1,0.3843,0.532,42.55,MEDIUM
58514,3,2,0.6667,1.33,1,0.384,0.5282,42.53,MEDIUM
75504,3,2,0.6667,1.33,1,0.384,0.5355,42.53,MEDIUM
30787,3,2,0.6667,1.33,1,0.3839,0.5366,42.53,MEDIUM
68388,3,2,0.6667,1.33,1,0.3836,0.5478,42.51,MEDIUM
87593,3,2,0.6667,1.33,1,0.3835,0.5255,42.51,MEDIUM
79505,3,2,0.6667,1.33,1,0.3833,0.5317,42.5,MEDIUM
85017,3,2,0.6667,1.33,1,0.3831,0.5306,42.49,MEDIUM
32120,3,2,0.6667,1.33,1,0.3831,0.5269,42.49,MEDIUM
85462,3,2,0.6667,1.33,1,0.3829,0.5317,42.48,MEDIUM
29676,3,2,0.6667,1.33,1,0.3827,0.5227,42.47,MEDIUM
56448,3,2,0.6667,1.33,1,0.3827,0.533,42.47,MEDIUM
81818,3,2,0.6667,1.33,1,0.3819,0.5265,42.43,MEDIUM
86047,3,2,0.6667,1.33,1,0.382,0.5296,42.43,MEDIUM
59510,3,2,0.6667,1.33,1,0.3818,0.5423,42.42,MEDIUM
89417,3,2,0.6667,1.33,1,0.3817,0.5197,42.42,MEDIUM
80317,3,2,0.6667,1.33,1,0.3816,0.5359,42.41,MEDIUM
89590,3,2,0.6667,1.33,1,0.3815,0.5226,42.41,MEDIUM
73561,3,2,0.6667,1.33,1,0.3815,0.5208,42.41,MEDIUM
77082,3,2,0.6667,1.33,1,0.3816,0.5206,42.41,MEDIUM
68773,3,2,0.6667,1.33,1,0.3811,0.5268,42.39,MEDIUM
69512,3,2,0.6667,1.33,1,0.3812,0.5296,42.39,MEDIUM
48970,3,2,0.6667,1.33,1,0.3809,0.5281,42.38,MEDIUM
84504,3,2,0.6667,1.33,1,0.381,0.5339,42.38,MEDIUM
32553,3,2,0.6667,1.33,1,0.3809,0.5232,42.38,MEDIUM
13940,3,2,0.6667,1.33,1,0.3808,0.5221,42.37,MEDIUM
25439,3,2,0.6667,1.33,1,0.3807,0.5222,42.37,MEDIUM
89805,3,2,0.6667,1.33,1,0.3808,0.5411,42.37,MEDIUM
79501,3,2,0.6667,1.33,1,0.3802,0.521,42.34,MEDIUM
87869,3,2,0.6667,1.33,1,0.3802,0.5154,42.34,MEDIUM
56263,3,2,0.6667,1.33,1,0.38,0.5371,42.33,MEDIUM
72372,3,2,0.6667,1.33,1,0.3799,0.5163,42.33,MEDIUM
85172,3,2,0.6667,1.33,1,0.3797,0.5255,42.32,MEDIUM
53267,3,2,0.6667,1.33,1,0.3795,0.5215,42.31,MEDIUM
71300,3,2,0.6667,1.33,1,0.3796,0.5258,42.31,MEDIUM
53006,3,2,0.6667,1.33,1,0.3796,0.5259,42.31,MEDIUM
41779,3,2,0.6667,1.33,1,0.3793,0.517,42.3,MEDIUM
86545,3,2,0.6667,1.33,1,0.3792,0.5237,42.29,MEDIUM
63353,3,2,0.6667,1.33,1,0.3786,0.5139,42.27,MEDIUM
58732,3,2,0.6667,1.33,1,0.3786,0.5228,42.26,MEDIUM
12621,3,2,0.6667,1.33,1,0.3785,0.5133,42.26,MEDIUM
53695,3,2,0.6667,1.33,1,0.3786,0.5192,42.26,MEDIUM
35263,3,2,0.6667,1.33,1,0.3783,0.5095,42.25,MEDIUM
88880,3,2,0.6667,1.33,1,0.3783,0.5157,42.25,MEDIUM
60717,3,2,0.6667,1.33,1,0.3781,0.5032,42.24,MEDIUM
70252,3,2,0.6667,1.33,1,0.3778,0.5126,42.22,MEDIUM
88097,3,2,0.6667,1.33,1,0.3777,0.5115,42.22,MEDIUM
38495,3,2,0.6667,1.33,1,0.3774,0.5126,42.2,MEDIUM
52951,3,2,0.6667,1.33,1,0.3773,0.5055,42.2,MEDIUM
80670,3,2,0.6667,1.33,1,0.3774,0.528,42.2,MEDIUM
81136,3,2,0.6667,1.33,1,0.377,0.5229,42.19,MEDIUM
32627,3,2,0.6667,1.33,1,0.3772,0.5121,42.19,MEDIUM
59476,3,2,0.6667,1.33,1,0.3768,0.5133,42.17,MEDIUM
48254,3,2,0.6667,1.33,1,0.3767,0.513,42.17,MEDIUM
93562,3,2,0.6667,1.33,1,0.3768,0.5183,42.17,MEDIUM
54341,3,2,0.6667,1.33,1,0.3766,0.5112,42.16,MEDIUM
53841,3,2,0.6667,1.33,1,0.3763,0.5107,42.15,MEDIUM
19159,3,2,0.6667,1.33,1,0.3764,0.5075,42.15,MEDIUM
64508,3,2,0.6667,1.33,1,0.3761,0.5152,42.14,MEDIUM
70378,3,2,0.6667,1.33,1,0.3762,0.5146,42.14,MEDIUM
73883,3,2,0.6667,1.33,1,0.3762,0.515,42.14,MEDIUM
65295,3,2,0.6667,1.33,1,0.3759,0.5096,42.13,MEDIUM
69317,3,2,0.6667,1.33,1,0.3757,0.5033,42.12,MEDIUM
76749,3,2,0.6667,1.33,1,0.3757,0.5114,42.12,MEDIUM
86683,3,2,0.6667,1.33,1,0.3757,0.5101,42.12,MEDIUM
55193,3,2,0.6667,1.33,1,0.3755,0.523,42.11,MEDIUM
79833,3,2,0.6667,1.33,1,0.3755,0.5241,42.11,MEDIUM
28349,3,2,0.6667,1.33,1,0.3754,0.5022,42.11,MEDIUM
42177,3,2,0.6667,1.33,1,0.3756,0.514,42.11,MEDIUM
74824,3,2,0.6667,1.33,1,0.3754,0.5138,42.1,MEDIUM
69670,3,2,0.6667,1.33,1,0.3753,0.507,42.1,MEDIUM
32946,3,2,0.6667,1.33,1,0.3752,0.5074,42.09,MEDIUM
68350,3,2,0.6667,1.33,1,0.3752,0.5012,42.09,MEDIUM
27071,3,2,0.6667,1.33,1,0.3752,0.5088,42.09,MEDIUM
87646,3,2,0.6667,1.33,1,0.375,0.5151,42.08,MEDIUM
76858,3,2,0.6667,1.33,1,0.3748,0.5209,42.07,MEDIUM
91150,3,2,0.6667,1.33,1,0.3747,0.5016,42.07,MEDIUM
65895,3,2,0.6667,1.33,1,0.3748,0.51,42.07,MEDIUM
56932,3,2,0.6667,1.33,1,0.3745,0.5145,42.06,MEDIUM
29948,3,2,0.6667,1.33,1,0.3746,0.5058,42.06,MEDIUM
25209,3,2,0.6667,1.33,1,0.3745,0.5046,42.06,MEDIUM
72159,3,2,0.6667,1.33,1,0.3743,0.5134,42.05,MEDIUM
31082,3,2,0.6667,1.33,1,0.3742,0.5004,42.04,MEDIUM
59116,3,2,0.6667,1.33,1,0.3742,0.5144,42.04,MEDIUM
72504,3,2,0.6667,1.33,1,0.3741,0.5069,42.04,MEDIUM
